,n_learners,error_train,error_test,train_time
0,1,0.07999999999999996,0.08178438661710041,0.004964351654052734
1,10,0.043333333333333335,0.044609665427509326,0.026602506637573242
2,20,0.0033333333333332993,0.055762081784386575,0.05528092384338379
3,30,0.0,0.052044609665427455,0.07822465896606445
4,40,0.0,0.059479553903345694,0.09909224510192871
5,50,0.0,0.044609665427509326,0.1289064884185791
6,60,0.0,0.03345724907063197,0.1644279956817627
7,70,0.0,0.03717472118959109,0.16869664192199707
8,80,0.0,0.03345724907063197,0.19070816040039062
9,90,0.0,0.03345724907063197,0.23258686065673828
10,100,0.0,0.03345724907063197,0.23415732383728027
11,110,0.0,0.026022304832713727,0.25992846488952637
12,120,0.0,0.03345724907063197,0.29819178581237793
13,130,0.0,0.026022304832713727,0.3032679557800293
14,140,0.0,0.018587360594795488,0.34400177001953125
15,150,0.0,0.022304832713754608,0.3525052070617676
16,160,0.0,0.022304832713754608,0.3728783130645752
17,170,0.0,0.018587360594795488,0.4138453006744385
18,180,0.0,0.029739776951672847,0.4199693202972412
19,190,0.0,0.026022304832713727,0.44559383392333984
20,200,0.0,0.022304832713754608,0.46544337272644043
21,210,0.0,0.022304832713754608,0.48975396156311035
22,220,0.0,0.018587360594795488,0.5132095813751221
23,230,0.0,0.018587360594795488,0.5466547012329102
24,240,0.0,0.018587360594795488,0.561138391494751
25,250,0.0,0.022304832713754608,0.5789542198181152
26,260,0.0,0.022304832713754608,0.6035916805267334
27,270,0.0,0.022304832713754608,0.6252362728118896
28,280,0.0,0.026022304832713727,0.6478168964385986
29,290,0.0,0.022304832713754608,0.6823406219482422
30,300,0.0,0.022304832713754608,0.6938915252685547
31,310,0.0,0.018587360594795488,0.7167978286743164
32,320,0.0,0.022304832713754608,0.7397637367248535
33,330,0.0,0.022304832713754608,0.7640106678009033
34,340,0.0,0.018587360594795488,0.8107647895812988
35,350,0.0,0.022304832713754608,0.8948323726654053
36,360,0.0,0.022304832713754608,0.8724946975708008
37,370,0.0,0.029739776951672847,1.034656286239624
38,380,0.0,0.029739776951672847,1.0057313442230225
39,390,0.0,0.029739776951672847,1.0737645626068115
40,400,0.0,0.029739776951672847,1.0320630073547363
41,410,0.0,0.018587360594795488,0.9799776077270508
42,420,0.0,0.022304832713754608,1.1619744300842285
43,430,0.0,0.022304832713754608,1.089576005935669
44,440,0.0,0.026022304832713727,1.1320321559906006
45,450,0.0,0.029739776951672847,1.150886058807373
46,460,0.0,0.026022304832713727,1.2206921577453613
47,470,0.0,0.029739776951672847,1.1960899829864502
48,480,0.0,0.029739776951672847,1.268883228302002
49,490,0.0,0.029739776951672847,1.2835543155670166
50,500,0.0,0.029739776951672847,1.4183950424194336
